일자|시간|구분,공급량
2019-01-09 20 A,2846.1864185210247
2019-01-09 21 A,2830.939117347375
2019-01-09 22 A,2767.117913152683
2019-01-09 23 A,2626.6626455673013
2019-01-09 24 A,2514.4940834345666
2019-01-10 01 A,2244.2517729722404
2019-01-10 02 A,1979.138299802134
2019-01-10 03 A,1884.2657528391067
2019-01-10 04 A,1892.6190530224974
2019-01-10 05 A,2121.714201660501
2019-01-10 06 A,2310.809561608899
2019-01-10 07 A,2657.568831559213
2019-01-10 08 A,3030.1887496071563
2019-01-10 09 A,3105.5476036548
2019-01-10 10 A,2993.543331704999
2019-01-10 11 A,2836.957400296578
2019-01-10 12 A,2609.993894959533
2019-01-10 13 A,2442.384295875103
2019-01-10 14 A,2282.7292816668173
2019-01-10 15 A,2119.4016702064114
2019-01-10 16 A,2114.9795498361273
2019-01-10 17 A,2120.146489095386
2019-01-10 18 A,2477.74095225725
2019-01-10 19 A,2848.5122289504175
2019-01-10 20 A,2852.772347958741
2019-01-10 21 A,2837.525046785091
2019-01-10 22 A,2778.8188725304944
2019-01-10 23 A,2630.9992174666118
2019-01-10 24 A,2541.1401053375357
2019-01-11 01 A,2305.287062834391
2019-01-11 02 A,2043.2865099887374
2019-01-11 03 A,1921.060557712134
2019-01-11 04 A,1929.4138578955246
2019-01-11 05 A,2148.548138212272
2019-01-11 06 A,2338.478563658342
2019-01-11 07 A,2670.750645728214
2019-01-11 08 A,3029.5710723485395
2019-01-11 09 A,3072.5710193266455
2019-01-11 10 A,2999.427767116399
2019-01-11 11 A,2842.2843818959786
2019-01-11 12 A,2597.481437564314
2019-01-11 13 A,2431.631722710277
2019-01-11 14 A,2278.82059682043
2019-01-11 15 A,2125.344420969756
2019-01-11 16 A,2115.475459748408
2019-01-11 17 A,2120.6423990076673
2019-01-11 18 A,2430.042003409883
2019-01-11 19 A,2781.6523081168316
2019-01-11 20 A,2785.912427125155
2019-01-11 21 A,2768.6846381088408
2019-01-11 22 A,2726.6459080442987
2019-01-11 23 A,2568.8618894967176
2019-01-11 24 A,2507.4154094015926
2019-01-12 01 A,2205.513429568167
2019-01-12 02 A,1982.6266922496773
2019-01-12 03 A,1869.3025863219918
2019-01-12 04 A,1881.937373025333
2019-01-12 05 A,2043.952931477978
2019-01-12 06 A,2106.2222912076527
2019-01-12 07 A,2074.653870828582
2019-01-12 08 A,2394.3996003400575
2019-01-12 09 A,2694.2288178150393
2019-01-12 10 A,2710.3148238644217
2019-01-12 11 A,2708.170385501427
2019-01-12 12 A,2441.1480396660545
2019-01-12 13 A,2245.092716053755
2019-01-12 14 A,2092.9935140095577
2019-01-12 15 A,2046.885977422543
2019-01-12 16 A,2046.885977422543
2019-01-12 17 A,2053.959321448991
2019-01-12 18 A,2309.386877360075
2019-01-12 19 A,2586.206060398037
2019-01-12 20 A,2585.3258394500963
2019-01-12 21 A,2472.326362899233
2019-01-12 22 A,2422.530649817151
2019-01-12 23 A,2331.2980242535127
2019-01-12 24 A,2294.8658965127843
2019-01-13 01 A,2041.5296837737262
2019-01-13 02 A,1813.5436454499852
2019-01-13 03 A,1752.3355710697208
2019-01-13 04 A,1756.7090391992174
2019-01-13 05 A,1878.7158914204795
2019-01-13 06 A,1923.6895447178981
2019-01-13 07 A,1962.0624011210691
2019-01-13 08 A,2159.4138432234704
2019-01-13 09 A,2506.4654489651825
2019-01-13 10 A,2536.7550387399915
2019-01-13 11 A,2528.9239960774908
2019-01-13 12 A,2317.8816725821457
2019-01-13 13 A,2144.9224088982573
2019-01-13 14 A,1993.8456493895762
2019-01-13 15 A,1973.7721010574421
2019-01-13 16 A,1973.7721010574421
2019-01-13 17 A,1980.84544508389
2019-01-13 18 A,2256.5464245302787
2019-01-13 19 A,2588.8536770413934
2019-01-13 20 A,2588.8536770413934
2019-01-13 21 A,2478.5699218638792
2019-01-13 22 A,2418.1103706504846
2019-01-13 23 A,2320.55801162725
2019-01-13 24 A,2295.544178078865
2019-01-14 01 A,1957.4696380188568
2019-01-14 02 A,1734.2558676328001
2019-01-14 03 A,1726.0868226846437
2019-01-14 04 A,1739.0114124401857
2019-01-14 05 A,1879.7579056290617
2019-01-14 06 A,2133.5665788276633
2019-01-14 07 A,2459.860288288149
2019-01-14 08 A,2928.4699638950356
2019-01-14 09 A,3003.130537382444
2019-01-14 10 A,2899.193269138858
2019-01-14 11 A,2766.2693309068823
2019-01-14 12 A,2540.193536218188
2019-01-14 13 A,2378.456807271014
2019-01-14 14 A,2246.731001084989
2019-01-14 15 A,2098.1354279569327
2019-01-14 16 A,2094.121876260975
2019-01-14 17 A,2094.599716399864
2019-01-14 18 A,2392.987600831862
2019-01-14 19 A,2715.98720219012
2019-01-14 20 A,2723.6524031353215
2019-01-14 21 A,2706.600892198838
2019-01-14 22 A,2646.2470333882166
2019-01-14 23 A,2498.4962200941295
2019-01-14 24 A,2355.6533021499545
2019-01-15 01 A,2046.9652297499904
2019-01-15 02 A,1787.325712237282
2019-01-15 03 A,1709.313734461174
2019-01-15 04 A,1731.700840018769
2019-01-15 05 A,1974.6728660067154
2019-01-15 06 A,2119.8575528296883
2019-01-15 07 A,2421.3767577400045
2019-01-15 08 A,2944.3645580660013
2019-01-15 09 A,3007.5680871731142
2019-01-15 10 A,2875.021280567139
2019-01-15 11 A,2762.5195183942847
2019-01-15 12 A,2542.60278812923
2019-01-15 13 A,2367.1412230460496
2019-01-15 14 A,2250.2918870421213
2019-01-15 15 A,2103.208620302895
2019-01-15 16 A,2099.1950686069376
2019-01-15 17 A,2099.6729087458266
2019-01-15 18 A,2367.2413101452485
2019-01-15 19 A,2701.8687344288523
2019-01-15 20 A,2709.5339353740537
2019-01-15 21 A,2687.0619183743515
2019-01-15 22 A,2637.996875154668
2019-01-15 23 A,2479.9654195052917
2019-01-15 24 A,2356.858761832494
2019-01-16 01 A,2037.4257154276734
2019-01-16 02 A,1780.1061664051965
2019-01-16 03 A,1707.44515740831
2019-01-16 04 A,1722.6038395459916
2019-01-16 05 A,1951.6770369630747
2019-01-16 06 A,2051.5393444647602
2019-01-16 07 A,2365.706903707607
2019-01-16 08 A,2942.3119769525033
2019-01-16 09 A,3011.095072327048
2019-01-16 10 A,2883.501457570536
2019-01-16 11 A,2758.224418127105
2019-01-16 12 A,2523.3262774273253
2019-01-16 13 A,2338.0448892051886
2019-01-16 14 A,2250.2918870421213
2019-01-16 15 A,2092.2472293411092
2019-01-16 16 A,2088.2336776451516
2019-01-16 17 A,2093.400616904411
2019-01-16 18 A,2354.0861206249447
2019-01-16 19 A,2678.034758106689
2019-01-16 20 A,2685.6999590518903
2019-01-16 21 A,2659.4027033398147
2019-01-16 22 A,2626.3491853847127
2019-01-16 23 A,2474.2786067282154
2019-01-16 24 A,2363.999242189637
2019-01-17 01 A,2026.3721628683945
2019-01-17 02 A,1746.879220209906
2019-01-17 03 A,1680.0525098355586
2019-01-17 04 A,1695.2111919732404
2019-01-17 05 A,1896.4242902761987
2019-01-17 06 A,2010.2853747358813
2019-01-17 07 A,2352.8891529065604
2019-01-17 08 A,2946.5427068002746
2019-01-17 09 A,3002.1569041045327
2019-01-17 10 A,2868.8016233459525
2019-01-17 11 A,2753.9979857996454
2019-01-17 12 A,2523.180484294214
2019-01-17 13 A,2314.547207613077
2019-01-17 14 A,2249.0011695587177
2019-01-17 15 A,2092.2472293411092
2019-01-17 16 A,2087.825108970825
2019-01-17 17 A,2092.992048230084
2019-01-17 18 A,2322.683929896937
2019-01-17 19 A,2669.697555865941
2019-01-17 20 A,2670.7637992800205
2019-01-17 21 A,2644.4665435679444
2019-01-17 22 A,2628.928152745195
2019-01-17 23 A,2464.4459019578076
2019-01-17 24 A,2380.0575766255592
2019-01-18 01 A,2031.6507817318595
2019-01-18 02 A,1740.8454698769526
2019-01-18 03 A,1691.1321163221282
2019-01-18 04 A,1699.571390851114
2019-01-18 05 A,1883.8036913489116
2019-01-18 06 A,2029.5181224870132
2019-01-18 07 A,2332.198464692484
2019-01-18 08 A,2937.9015061806635
2019-01-18 09 A,2974.677940034488
2019-01-18 10 A,2875.5670805138693
2019-01-18 11 A,2737.032356004466
2019-01-18 12 A,2493.448266005029
2019-01-18 13 A,2316.8199594796565
2019-01-18 14 A,2253.378751013579
2019-01-18 15 A,2098.1899801044538
2019-01-18 16 A,2088.321018883106
2019-01-18 17 A,2093.4879581423647
2019-01-18 18 A,2307.883881544186
2019-01-18 19 A,2655.3173728291963
2019-01-18 20 A,2656.3836162432767
2019-01-18 21 A,2628.105872688537
2019-01-18 22 A,2615.129719904272
2019-01-18 23 A,2465.1518082618813
2019-01-18 24 A,2368.1535940153967
2019-01-19 01 A,2068.883606961904
2019-01-19 02 A,1775.204753894884
2019-01-19 03 A,1718.6028986453848
2019-01-19 04 A,1729.916407935659
2019-01-19 05 A,1870.33243886222
2019-01-19 06 A,1973.7895363157525
2019-01-19 07 A,2066.584297796695
2019-01-19 08 A,2360.2928331754874
2019-01-19 09 A,2518.215440595942
2019-01-19 10 A,2532.000677756435
2019-01-19 11 A,2528.774435107726
2019-01-19 12 A,2370.3489833781878
2019-01-19 13 A,2133.396192896519
2019-01-19 14 A,2010.3064840947213
2019-01-19 15 A,1951.0272897626087
2019-01-19 16 A,1951.0272897626087
2019-01-19 17 A,1964.9710993446122
2019-01-19 18 A,2170.0622251693067
2019-01-19 19 A,2492.739090218803
2019-01-19 20 A,2491.8588692708627
2019-01-19 21 A,2395.338341342928
2019-01-19 22 A,2303.411285114735
2019-01-19 23 A,2167.9705004125117
2019-01-19 24 A,2113.260526415182
2019-01-20 01 A,2012.1064700165687
2019-01-20 02 A,1757.7094538918716
2019-01-20 03 A,1675.1138772456443
2019-01-20 04 A,1672.3744551261561
2019-01-20 05 A,1827.7076692739747
2019-01-20 06 A,1901.3760414895435
2019-01-20 07 A,1972.5619479829704
2019-01-20 08 A,2192.117201743746
2019-01-20 09 A,2430.4735601632797
2019-01-20 10 A,2449.401920286074
2019-01-20 11 A,2440.4890733378584
2019-01-20 12 A,2298.9802854825375
2019-01-20 13 A,2080.57964990923
2019-01-20 14 A,1949.668666581884
2019-01-20 15 A,1923.7628894528636
2019-01-20 16 A,1923.7628894528636
2019-01-20 17 A,1937.706699034867
2019-01-20 18 A,2161.6845492241405
2019-01-20 19 A,2487.3322268929096
2019-01-20 20 A,2487.3322268929096
2019-01-20 21 A,2377.1005306568945
2019-01-20 22 A,2285.629932313513
2019-01-20 23 A,2141.2134872643633
2019-01-20 24 A,2097.9218074593778
2019-01-21 01 A,1948.18541994561
2019-01-21 02 A,1597.467604156987
2019-01-21 03 A,1579.6217804259697
2019-01-21 04 A,1585.163861090922
2019-01-21 05 A,1864.5771562412372
2019-01-21 06 A,2105.054267744716
2019-01-21 07 A,2398.2711880956513
2019-01-21 08 A,2919.5141142766815
2019-01-21 09 A,2993.3479276003313
2019-01-21 10 A,2896.405313505078
2019-01-21 11 A,2755.576895785213
2019-01-21 12 A,2563.7742509888517
2019-01-21 13 A,2419.21445277273
2019-01-21 14 A,2289.3561484013717
2019-01-21 15 A,2120.745705963427
2019-01-21 16 A,2116.7321542674695
2019-01-21 17 A,2117.209994406358
2019-01-21 18 A,2402.8317082930535
2019-01-21 19 A,2714.8527506208557
2019-01-21 20 A,2717.231227726678
2019-01-21 21 A,2700.1797167901946
2019-01-21 22 A,2655.615843733328
2019-01-21 23 A,2528.0026385933033
2019-01-21 24 A,2390.001463205415
2019-01-22 01 A,2086.170238845131
2019-01-22 02 A,1814.426934021321
2019-01-22 03 A,1760.2618544566224
2019-01-22 04 A,1770.859760392284
2019-01-22 05 A,2022.9602743641628
2019-01-22 06 A,2145.653690421644
2019-01-22 07 A,2426.187533847596
2019-01-22 08 A,2972.9109053288184
2019-01-22 09 A,3032.151919533426
2019-01-22 10 A,2904.635495678766
2019-01-22 11 A,2771.3861441924373
2019-01-22 12 A,2556.434813812992
2019-01-22 13 A,2412.883449831554
2019-01-22 14 A,2292.917034358504
2019-01-22 15 A,2125.818898309389
2019-01-22 16 A,2121.805346613432
2019-01-22 17 A,2122.283186752321
2019-01-22 18 A,2411.3145699188094
2019-01-22 19 A,2718.4758924920015
2019-01-22 20 A,2720.8543695978237
2019-01-22 21 A,2707.884082221864
2019-01-22 22 A,2680.0913219849926
2019-01-22 23 A,2551.4698915733284
2019-01-22 24 A,2405.7816623995777
2019-01-23 01 A,2208.301010999284
2019-01-23 02 A,1906.8272979721228
2019-01-23 03 A,1839.9042281525549
2019-01-23 04 A,1861.9540183533077
2019-01-23 05 A,2120.590965332804
2019-01-23 06 A,2243.2467906823667
2019-01-23 07 A,2518.6501367229475
2019-01-23 08 A,3029.6173463357027
2019-01-23 09 A,3084.6816060405476
2019-01-23 10 A,2987.884316194815
2019-01-23 11 A,2876.955566800949
2019-01-23 12 A,2587.8212837532246
2019-01-23 13 A,2455.5321017914403
2019-01-23 14 A,2334.472288289358
2019-01-23 15 A,2168.227919491324
2019-01-23 16 A,2170.4680194494777
2019-01-23 17 A,2175.6349587087366
2019-01-23 18 A,2501.4924189743924
2019-01-23 19 A,2736.825797169995
2019-01-23 20 A,2739.2042742758176
2019-01-23 21 A,2715.032554275847
2019-01-23 22 A,2678.937370172348
2019-01-23 23 A,2620.5658107559384
2019-01-23 24 A,2533.848358554156
2019-01-24 01 A,2329.1900819784432
2019-01-24 02 A,2075.823055539398
2019-01-24 03 A,1961.2993602254408
2019-01-24 04 A,1984.8918743048844
2019-01-24 05 A,2188.343372460433
2019-01-24 06 A,2336.6328252507237
2019-01-24 07 A,2696.1305938119026
2019-01-24 08 A,3183.282645754953
2019-01-24 09 A,3207.523372345631
2019-01-24 10 A,3146.6550217982312
2019-01-24 11 A,3028.8676811122464
2019-01-24 12 A,2702.8242330012863
2019-01-24 13 A,2547.01850269258
2019-01-24 14 A,2377.0675241086096
2019-01-24 15 A,2184.0584401730853
2019-01-24 16 A,2174.9590621543516
2019-01-24 17 A,2180.126001413611
2019-01-24 18 A,2537.1972037969867
2019-01-24 19 A,2998.7648107641235
2019-01-24 20 A,2994.5443303388247
2019-01-24 21 A,2939.1778366650233
2019-01-24 22 A,2954.4096790675953
2019-01-24 23 A,2733.223384884478
2019-01-24 24 A,2606.8031541291325
2019-01-25 01 A,2434.1155917740048
2019-01-25 02 A,2082.3417678405585
2019-01-25 03 A,1997.711846669309
2019-01-25 04 A,2009.1287234237482
2019-01-25 05 A,2236.993161498583
2019-01-25 06 A,2461.4059608422513
2019-01-25 07 A,2727.643754851626
2019-01-25 08 A,3291.2384376807695
2019-01-25 09 A,3311.1222757882683
2019-01-25 10 A,3248.688253108353
2019-01-25 11 A,3087.3086610996224
2019-01-25 12 A,2773.657556934958
2019-01-25 13 A,2586.456882462786
2019-01-25 14 A,2412.1175751379456
2019-01-25 15 A,2231.0218078373478
2019-01-25 16 A,2211.9384269863704
2019-01-25 17 A,2222.770723163192
2019-01-25 18 A,2548.806970595834
2019-01-25 19 A,3076.2986949999104
2019-01-25 20 A,3072.0782145746116
2019-01-25 21 A,3001.1287400326037
2019-01-25 22 A,3000.028053666526
2019-01-25 23 A,2772.131264914153
2019-01-25 24 A,2570.3343875712662
2019-01-26 01 A,2387.376129975759
2019-01-26 02 A,2052.7852024843232
2019-01-26 03 A,2043.5058063208198
2019-01-26 04 A,2031.4540131634935
2019-01-26 05 A,2144.6153687500973
2019-01-26 06 A,2254.9669186387337
2019-01-26 07 A,2161.9911648119937
2019-01-26 08 A,2560.140058170291
2019-01-26 09 A,2909.669463967815
2019-01-26 10 A,2909.669463967815
2019-01-26 11 A,2882.4362368310626
2019-01-26 12 A,2637.5082746294715
2019-01-26 13 A,2375.287676521689
2019-01-26 14 A,2114.8483299759887
2019-01-26 15 A,2077.974826485834
2019-01-26 16 A,2077.974826485834
2019-01-26 17 A,2093.8907621789485
2019-01-26 18 A,2361.747860734975
2019-01-26 19 A,2753.4757827279946
2019-01-26 20 A,2743.0266927279945
2019-01-26 21 A,2668.193976398025
2019-01-26 22 A,2599.28531445932
2019-01-26 23 A,2503.457187185953
2019-01-26 24 A,2468.742059126605
2019-01-27 01 A,2232.908652481761
2019-01-27 02 A,2025.279814946188
2019-01-27 03 A,2065.8730010507484
2019-01-27 04 A,2040.6549472417926
2019-01-27 05 A,2062.277220955232
2019-01-27 06 A,2041.2429640710004
2019-01-27 07 A,2063.9567281630602
2019-01-27 08 A,2251.942315881014
2019-01-27 09 A,2623.2125847474395
2019-01-27 10 A,2715.325783179563
2019-01-27 11 A,2697.8222292473833
2019-01-27 12 A,2482.199468998919
2019-01-27 13 A,2294.9396851448423
2019-01-27 14 A,2184.708308530151
2019-01-27 15 A,2187.1285359173203
2019-01-27 16 A,2201.779611611765
2019-01-27 17 A,2217.6955473048793
2019-01-27 18 A,2355.617157035127
2019-01-27 19 A,2828.2686015932395
2019-01-27 20 A,2828.2686015932395
2019-01-27 21 A,2747.3897537408297
2019-01-27 22 A,2694.552109009918
2019-01-27 23 A,2528.786736205682
2019-01-27 24 A,2494.071608146334
2019-01-28 01 A,2116.374374693621
2019-01-28 02 A,1880.7801620325574
2019-01-28 03 A,1835.8403196285988
2019-01-28 04 A,1813.7915300926365
2019-01-28 05 A,2014.011909317153
2019-01-28 06 A,2184.964492422024
2019-01-28 07 A,2488.2036808500247
2019-01-28 08 A,2982.904325311982
2019-01-28 09 A,3040.0820297128216
2019-01-28 10 A,2937.787451994396
2019-01-28 11 A,2821.20390820638
2019-01-28 12 A,2572.7102621115014
2019-01-28 13 A,2429.746449678595
2019-01-28 14 A,2326.6445766237343
2019-01-28 15 A,2105.276877701951
2019-01-28 16 A,2102.8397200116547
2019-01-28 17 A,2108.9829170681064
2019-01-28 18 A,2390.062390994774
2019-01-28 19 A,2724.4527495845527
2019-01-28 20 A,2726.831226690375
2019-01-28 21 A,2730.8982480254344
2019-01-28 22 A,2697.2897272535834
2019-01-28 23 A,2555.8392393303875
2019-01-28 24 A,2430.353122919173
2019-01-29 01 A,2147.7799408535857
2019-01-29 02 A,1975.8158394304673
2019-01-29 03 A,1920.9953111055927
2019-01-29 04 A,1912.4369429413416
2019-01-29 05 A,2014.879196704329
2019-01-29 06 A,2156.6795012975495
2019-01-29 07 A,2489.9898573194805
2019-01-29 08 A,2984.9202588129933
2019-01-29 09 A,3022.5767777413425
2019-01-29 10 A,2921.4965088709773
2019-01-29 11 A,2798.0362059572144
2019-01-29 12 A,2590.4441291868284
2019-01-29 13 A,2438.960326607846
2019-01-29 14 A,2299.2715361886853
2019-01-29 15 A,2109.2583632227847
2019-01-29 16 A,2106.8212055324884
2019-01-29 17 A,2112.9644025889397
2019-01-29 18 A,2369.875434500666
2019-01-29 19 A,2810.2090471804354
2019-01-29 20 A,2812.587524286258
2019-01-29 21 A,2804.9239513426114
2019-01-29 22 A,2749.2980927653657
2019-01-29 23 A,2540.490895848197
2019-01-29 24 A,2394.73814388285
2019-01-30 01 A,2060.600114435559
2019-01-30 02 A,1813.2962139609922
2019-01-30 03 A,1774.2245372702687
2019-01-30 04 A,1764.3734649862486
2019-01-30 05 A,1947.886712264277
2019-01-30 06 A,2027.6772174774349
2019-01-30 07 A,2323.0731229033045
2019-01-30 08 A,2888.247894313143
2019-01-30 09 A,2901.8452711212667
2019-01-30 10 A,2894.891743706822
2019-01-30 11 A,2734.110550171204
2019-01-30 12 A,2490.621175379164
2019-01-30 13 A,2351.0975759032
2019-01-30 14 A,2176.0001481330924
2019-01-30 15 A,2057.9328882917384
2019-01-30 16 A,2057.7773099989677
